schedule,od
1.4414648549545745,LAX_DTLA
3.1355343524619457,LAX_DTLA
5.318466993208858,LAX_DTLA
8.517141031124538,LAX_DTLA
10.812887814926626,LAX_DTLA
15.777076764883532,LAX_DTLA
22.432093930969586,LAX_DTLA
24.37124309145497,LAX_DTLA
27.832421967131722,LAX_DTLA
29.788171379877213,LAX_DTLA
33.26926260477699,LAX_DTLA
37.911616603856515,LAX_DTLA
41.99970644037542,LAX_DTLA
47.161822944156896,LAX_DTLA
55.100751722186075,LAX_DTLA
66.42473267030567,LAX_DTLA
72.9578494224653,LAX_DTLA
83.65324583619008,LAX_DTLA
95.1205499275554,LAX_DTLA
132.88826895035766,LAX_DTLA
141.43630959687178,LAX_DTLA
146.58430077247812,LAX_DTLA
174.08484894342212,LAX_DTLA
209.10473022358855,LAX_DTLA
298.32015208105116,LAX_DTLA
323.41252809491147,LAX_DTLA
329.14632793108603,LAX_DTLA
329.83263490227637,LAX_DTLA
332.1018928842254,LAX_DTLA
337.9864695881129,LAX_DTLA
343.5221254998597,LAX_DTLA
369.97299259205397,LAX_DTLA
374.5849612055957,LAX_DTLA
378.2786753998918,LAX_DTLA
383.52884557682046,LAX_DTLA
388.5529402851762,LAX_DTLA
393.8650326358069,LAX_DTLA
395.13790897794905,LAX_DTLA
398.21142118364946,LAX_DTLA
400.497314100031,LAX_DTLA
402.40839225661114,LAX_DTLA
407.50632704759096,LAX_DTLA
414.7578617324031,LAX_DTLA
416.08187730161046,LAX_DTLA
421.3052978504048,LAX_DTLA
426.9839165288489,LAX_DTLA
434.35304597110144,LAX_DTLA
435.0817646846114,LAX_DTLA
439.3221335817861,LAX_DTLA
442.0622789106433,LAX_DTLA
444.3938676736218,LAX_DTLA
445.7075304426868,LAX_DTLA
449.41046865832584,LAX_DTLA
453.0831357609757,LAX_DTLA
457.8250877859548,LAX_DTLA
462.1823374728873,LAX_DTLA
462.36128126667273,LAX_DTLA
464.15957474378837,LAX_DTLA
465.74357375232864,LAX_DTLA
466.8425055919876,LAX_DTLA
469.62541168628337,LAX_DTLA
472.330837493498,LAX_DTLA
475.58442818547195,LAX_DTLA
477.3951805015188,LAX_DTLA
481.3779942851561,LAX_DTLA
482.14493208165806,LAX_DTLA
486.3865402136756,LAX_DTLA
489.2288142442977,LAX_DTLA
492.2462812015554,LAX_DTLA
495.6791202803502,LAX_DTLA
500.27972788753675,LAX_DTLA
504.2448835896972,LAX_DTLA
507.31579780934936,LAX_DTLA
509.8786136368625,LAX_DTLA
514.8166305553058,LAX_DTLA
516.0840083903743,LAX_DTLA
517.100244031849,LAX_DTLA
518.3449888007058,LAX_DTLA
519.225408978453,LAX_DTLA
521.1919094346416,LAX_DTLA
524.5162953328711,LAX_DTLA
529.4892093180041,LAX_DTLA
531.62895417348,LAX_DTLA
532.3936862884682,LAX_DTLA
537.1487987290532,LAX_DTLA
539.2497552883887,LAX_DTLA
540.568571273377,LAX_DTLA
541.2567461806515,LAX_DTLA
541.9260398767002,LAX_DTLA
542.9234895910371,LAX_DTLA
