passenger_id,passenger_arrival_time,origin_vertiport_id,destination_vertiport_id
0,892.0,DTLA,LAX
1,1427.0,DTLA,LAX
2,1544.0,DTLA,LAX
3,2435.0,DTLA,LAX
4,2446.0,DTLA,LAX
5,3837.0,DTLA,LAX
6,3883.0,DTLA,LAX
7,9177.0,DTLA,LAX
8,13257.0,DTLA,LAX
9,13613.0,DTLA,LAX
10,13726.0,DTLA,LAX
11,13880.0,DTLA,LAX
12,15061.0,DTLA,LAX
13,15456.0,DTLA,LAX
14,15887.0,DTLA,LAX
15,16167.0,DTLA,LAX
16,16262.0,DTLA,LAX
17,16594.0,DTLA,LAX
18,16626.0,DTLA,LAX
19,16642.0,DTLA,LAX
20,16771.0,DTLA,LAX
21,16900.0,DTLA,LAX
22,16992.0,DTLA,LAX
23,17054.0,DTLA,LAX
24,17162.0,DTLA,LAX
25,17351.0,DTLA,LAX
26,17514.0,DTLA,LAX
27,17786.0,DTLA,LAX
28,17932.0,DTLA,LAX
29,18187.0,DTLA,LAX
30,18362.0,DTLA,LAX
31,18514.0,DTLA,LAX
32,18566.0,DTLA,LAX
33,18793.0,DTLA,LAX
34,18869.0,DTLA,LAX
35,18872.0,DTLA,LAX
36,18950.0,DTLA,LAX
37,19066.0,DTLA,LAX
38,19355.0,DTLA,LAX
39,19766.0,DTLA,LAX
40,20262.0,DTLA,LAX
41,20425.0,DTLA,LAX
42,20479.0,DTLA,LAX
43,20517.0,DTLA,LAX
44,20635.0,DTLA,LAX
45,20745.0,DTLA,LAX
46,20992.0,DTLA,LAX
47,21233.0,DTLA,LAX
48,21288.0,DTLA,LAX
49,21597.0,DTLA,LAX
50,21733.0,DTLA,LAX
51,21791.0,DTLA,LAX
52,21965.0,DTLA,LAX
53,21982.0,DTLA,LAX
54,22162.0,DTLA,LAX
55,22204.0,DTLA,LAX
56,22293.0,DTLA,LAX
57,22310.0,DTLA,LAX
58,22474.0,DTLA,LAX
59,22512.0,DTLA,LAX
60,22589.0,DTLA,LAX
61,22606.0,DTLA,LAX
62,22606.0,DTLA,LAX
63,22624.0,DTLA,LAX
64,22910.0,DTLA,LAX
65,23017.0,DTLA,LAX
66,23076.0,DTLA,LAX
67,23112.0,DTLA,LAX
68,23262.0,DTLA,LAX
69,23280.0,DTLA,LAX
70,23327.0,DTLA,LAX
71,23539.0,DTLA,LAX
