passenger_id,passenger_arrival_time,origin_vertiport_id,destination_vertiport_id
0,345.0,DTLA,LAX
1,2139.0,DTLA,LAX
2,10702.0,DTLA,LAX
3,11419.0,DTLA,LAX
4,12041.0,DTLA,LAX
5,12394.0,DTLA,LAX
6,12471.0,DTLA,LAX
7,12856.0,DTLA,LAX
8,13145.0,DTLA,LAX
9,13255.0,DTLA,LAX
10,13359.0,DTLA,LAX
11,13439.0,DTLA,LAX
12,13799.0,DTLA,LAX
13,14071.0,DTLA,LAX
14,14684.0,DTLA,LAX
15,14780.0,DTLA,LAX
16,15043.0,DTLA,LAX
17,15693.0,DTLA,LAX
18,15745.0,DTLA,LAX
19,15839.0,DTLA,LAX
20,16265.0,DTLA,LAX
21,16404.0,DTLA,LAX
22,16408.0,DTLA,LAX
23,16412.0,DTLA,LAX
24,16471.0,DTLA,LAX
25,16572.0,DTLA,LAX
26,16711.0,DTLA,LAX
27,17217.0,DTLA,LAX
28,17587.0,DTLA,LAX
29,17602.0,DTLA,LAX
30,17738.0,DTLA,LAX
31,17884.0,DTLA,LAX
32,17960.0,DTLA,LAX
33,18047.0,DTLA,LAX
34,18141.0,DTLA,LAX
35,18434.0,DTLA,LAX
36,18485.0,DTLA,LAX
37,18526.0,DTLA,LAX
38,18874.0,DTLA,LAX
39,18886.0,DTLA,LAX
40,18975.0,DTLA,LAX
41,19263.0,DTLA,LAX
42,19336.0,DTLA,LAX
43,19400.0,DTLA,LAX
44,19552.0,DTLA,LAX
45,19604.0,DTLA,LAX
46,19948.0,DTLA,LAX
47,20313.0,DTLA,LAX
48,20554.0,DTLA,LAX
49,20849.0,DTLA,LAX
50,20911.0,DTLA,LAX
51,20928.0,DTLA,LAX
52,21089.0,DTLA,LAX
53,21342.0,DTLA,LAX
54,21406.0,DTLA,LAX
55,21681.0,DTLA,LAX
56,21719.0,DTLA,LAX
57,21939.0,DTLA,LAX
58,22003.0,DTLA,LAX
59,22277.0,DTLA,LAX
60,22310.0,DTLA,LAX
61,22488.0,DTLA,LAX
62,22549.0,DTLA,LAX
63,22710.0,DTLA,LAX
64,22956.0,DTLA,LAX
65,23025.0,DTLA,LAX
66,23184.0,DTLA,LAX
67,23216.0,DTLA,LAX
68,23441.0,DTLA,LAX
69,23666.0,DTLA,LAX
70,23687.0,DTLA,LAX
71,23741.0,DTLA,LAX
72,23890.0,DTLA,LAX
73,24062.0,DTLA,LAX
74,24138.0,DTLA,LAX
75,24144.0,DTLA,LAX
76,24432.0,DTLA,LAX
77,24548.0,DTLA,LAX
78,24750.0,DTLA,LAX
79,24840.0,DTLA,LAX
80,24911.0,DTLA,LAX
81,24991.0,DTLA,LAX
82,25157.0,DTLA,LAX
83,25538.0,DTLA,LAX
84,25572.0,DTLA,LAX
85,25591.0,DTLA,LAX
86,25798.0,DTLA,LAX
87,26065.0,DTLA,LAX
88,26108.0,DTLA,LAX
89,26381.0,DTLA,LAX
90,26406.0,DTLA,LAX
91,26420.0,DTLA,LAX
92,26697.0,DTLA,LAX
93,26705.0,DTLA,LAX
94,26708.0,DTLA,LAX
95,26713.0,DTLA,LAX
96,26719.0,DTLA,LAX
97,26948.0,DTLA,LAX
98,26985.0,DTLA,LAX
99,27143.0,DTLA,LAX
100,27422.0,DTLA,LAX
101,27544.0,DTLA,LAX
102,27601.0,DTLA,LAX
103,27700.0,DTLA,LAX
104,27744.0,DTLA,LAX
105,27847.0,DTLA,LAX
106,28083.0,DTLA,LAX
107,28142.0,DTLA,LAX
108,28162.0,DTLA,LAX
109,28357.0,DTLA,LAX
110,28535.0,DTLA,LAX
111,28590.0,DTLA,LAX
112,28918.0,DTLA,LAX
113,29051.0,DTLA,LAX
114,29071.0,DTLA,LAX
115,29112.0,DTLA,LAX
116,29173.0,DTLA,LAX
117,29516.0,DTLA,LAX
118,29631.0,DTLA,LAX
119,29760.0,DTLA,LAX
120,29763.0,DTLA,LAX
121,30108.0,DTLA,LAX
122,30133.0,DTLA,LAX
123,30157.0,DTLA,LAX
124,30310.0,DTLA,LAX
125,30312.0,DTLA,LAX
126,30365.0,DTLA,LAX
127,30455.0,DTLA,LAX
128,30476.0,DTLA,LAX
129,30932.0,DTLA,LAX
130,31253.0,DTLA,LAX
131,31277.0,DTLA,LAX
132,31325.0,DTLA,LAX
133,31416.0,DTLA,LAX
134,31470.0,DTLA,LAX
135,31538.0,DTLA,LAX
136,31705.0,DTLA,LAX
137,31778.0,DTLA,LAX
138,31922.0,DTLA,LAX
139,32042.0,DTLA,LAX
140,32091.0,DTLA,LAX
141,32129.0,DTLA,LAX
142,32173.0,DTLA,LAX
143,32207.0,DTLA,LAX
144,32421.0,DTLA,LAX
145,32434.0,DTLA,LAX
146,32480.0,DTLA,LAX
147,32659.0,DTLA,LAX
