passenger_id,passenger_arrival_time,origin_vertiport_id,destination_vertiport_id
0,1008.0,DTLA,LAX
1,1835.0,DTLA,LAX
2,3634.0,DTLA,LAX
3,8411.0,DTLA,LAX
4,8918.0,DTLA,LAX
5,9234.0,DTLA,LAX
6,9428.0,DTLA,LAX
7,9466.0,DTLA,LAX
8,9606.0,DTLA,LAX
9,9972.0,DTLA,LAX
10,10439.0,DTLA,LAX
11,10444.0,DTLA,LAX
12,10491.0,DTLA,LAX
13,10559.0,DTLA,LAX
14,11013.0,DTLA,LAX
15,11253.0,DTLA,LAX
16,11319.0,DTLA,LAX
17,11416.0,DTLA,LAX
18,11457.0,DTLA,LAX
19,11725.0,DTLA,LAX
20,11762.0,DTLA,LAX
21,11836.0,DTLA,LAX
22,11879.0,DTLA,LAX
23,11920.0,DTLA,LAX
24,11958.0,DTLA,LAX
25,12259.0,DTLA,LAX
26,12266.0,DTLA,LAX
27,12284.0,DTLA,LAX
28,12440.0,DTLA,LAX
29,12589.0,DTLA,LAX
30,12612.0,DTLA,LAX
31,12723.0,DTLA,LAX
32,12755.0,DTLA,LAX
33,12785.0,DTLA,LAX
34,12794.0,DTLA,LAX
35,12850.0,DTLA,LAX
36,12867.0,DTLA,LAX
37,12918.0,DTLA,LAX
38,12925.0,DTLA,LAX
39,12956.0,DTLA,LAX
40,13064.0,DTLA,LAX
41,13088.0,DTLA,LAX
42,13089.0,DTLA,LAX
43,13255.0,DTLA,LAX
44,13315.0,DTLA,LAX
45,13335.0,DTLA,LAX
46,13376.0,DTLA,LAX
47,13441.0,DTLA,LAX
48,13449.0,DTLA,LAX
49,13583.0,DTLA,LAX
50,13617.0,DTLA,LAX
51,13700.0,DTLA,LAX
52,13708.0,DTLA,LAX
53,13711.0,DTLA,LAX
54,13718.0,DTLA,LAX
55,13768.0,DTLA,LAX
56,13881.0,DTLA,LAX
57,13909.0,DTLA,LAX
58,13938.0,DTLA,LAX
59,13953.0,DTLA,LAX
60,14043.0,DTLA,LAX
61,14070.0,DTLA,LAX
62,14075.0,DTLA,LAX
63,14083.0,DTLA,LAX
64,14130.0,DTLA,LAX
65,14147.0,DTLA,LAX
66,14191.0,DTLA,LAX
67,14304.0,DTLA,LAX
68,14327.0,DTLA,LAX
69,14329.0,DTLA,LAX
70,14402.0,DTLA,LAX
71,14514.0,DTLA,LAX
72,14557.0,DTLA,LAX
73,14587.0,DTLA,LAX
74,14656.0,DTLA,LAX
75,14698.0,DTLA,LAX
76,14767.0,DTLA,LAX
77,14839.0,DTLA,LAX
78,14840.0,DTLA,LAX
79,14891.0,DTLA,LAX
80,14894.0,DTLA,LAX
81,14942.0,DTLA,LAX
82,15032.0,DTLA,LAX
83,15044.0,DTLA,LAX
84,15061.0,DTLA,LAX
85,15066.0,DTLA,LAX
86,15197.0,DTLA,LAX
87,15285.0,DTLA,LAX
88,15366.0,DTLA,LAX
89,15372.0,DTLA,LAX
90,15385.0,DTLA,LAX
91,15403.0,DTLA,LAX
92,15404.0,DTLA,LAX
93,15405.0,DTLA,LAX
94,15645.0,DTLA,LAX
95,15736.0,DTLA,LAX
96,15744.0,DTLA,LAX
97,15802.0,DTLA,LAX
98,15828.0,DTLA,LAX
99,15851.0,DTLA,LAX
100,15926.0,DTLA,LAX
101,16036.0,DTLA,LAX
102,16196.0,DTLA,LAX
103,16218.0,DTLA,LAX
104,16236.0,DTLA,LAX
105,16349.0,DTLA,LAX
106,16479.0,DTLA,LAX
107,16536.0,DTLA,LAX
108,16545.0,DTLA,LAX
109,16611.0,DTLA,LAX
110,16649.0,DTLA,LAX
111,16672.0,DTLA,LAX
112,16686.0,DTLA,LAX
113,16752.0,DTLA,LAX
114,16765.0,DTLA,LAX
115,16774.0,DTLA,LAX
116,16831.0,DTLA,LAX
117,16879.0,DTLA,LAX
118,16918.0,DTLA,LAX
119,16923.0,DTLA,LAX
120,16945.0,DTLA,LAX
121,16975.0,DTLA,LAX
122,16987.0,DTLA,LAX
123,16995.0,DTLA,LAX
124,17111.0,DTLA,LAX
125,17195.0,DTLA,LAX
126,17273.0,DTLA,LAX
127,17302.0,DTLA,LAX
128,17311.0,DTLA,LAX
129,17353.0,DTLA,LAX
130,17370.0,DTLA,LAX
131,17376.0,DTLA,LAX
132,17392.0,DTLA,LAX
133,17393.0,DTLA,LAX
134,17429.0,DTLA,LAX
135,17471.0,DTLA,LAX
136,17501.0,DTLA,LAX
137,17511.0,DTLA,LAX
138,17547.0,DTLA,LAX
139,17547.0,DTLA,LAX
140,17627.0,DTLA,LAX
141,17652.0,DTLA,LAX
142,17665.0,DTLA,LAX
143,17666.0,DTLA,LAX
144,17751.0,DTLA,LAX
145,17805.0,DTLA,LAX
146,17811.0,DTLA,LAX
147,17814.0,DTLA,LAX
148,17854.0,DTLA,LAX
149,17957.0,DTLA,LAX
150,18142.0,DTLA,LAX
151,18164.0,DTLA,LAX
152,18218.0,DTLA,LAX
153,18225.0,DTLA,LAX
154,18247.0,DTLA,LAX
155,18249.0,DTLA,LAX
156,18302.0,DTLA,LAX
157,18305.0,DTLA,LAX
158,18451.0,DTLA,LAX
159,18495.0,DTLA,LAX
160,18506.0,DTLA,LAX
161,18523.0,DTLA,LAX
162,18583.0,DTLA,LAX
163,18591.0,DTLA,LAX
164,18610.0,DTLA,LAX
165,18646.0,DTLA,LAX
166,18721.0,DTLA,LAX
167,18750.0,DTLA,LAX
168,18825.0,DTLA,LAX
169,18890.0,DTLA,LAX
170,18891.0,DTLA,LAX
171,18920.0,DTLA,LAX
172,18987.0,DTLA,LAX
173,19063.0,DTLA,LAX
174,19066.0,DTLA,LAX
175,19136.0,DTLA,LAX
176,19220.0,DTLA,LAX
177,19221.0,DTLA,LAX
178,19222.0,DTLA,LAX
179,19287.0,DTLA,LAX
180,19387.0,DTLA,LAX
181,19441.0,DTLA,LAX
182,19491.0,DTLA,LAX
183,19556.0,DTLA,LAX
184,19642.0,DTLA,LAX
185,19672.0,DTLA,LAX
186,19749.0,DTLA,LAX
187,19883.0,DTLA,LAX
188,20014.0,DTLA,LAX
189,20072.0,DTLA,LAX
190,20129.0,DTLA,LAX
191,20218.0,DTLA,LAX
